DBH,V,H,QSF_X,QSF_Y,QSF_Z
0.227896251365697,0.741,21.766,25.0752739726027,7.53828767123288,5.65364077669903
0.152661178489235,0.186,12.421,11.1002054794521,16.9321232876712,15.2793375394322
0.0183287986956421,0.001,2.608,10.9911363636364,14.5740909090909,14.7235227272727
0.075536351362961,0.02,8.871,11.945,15.645,14.7494761904762
0.152486959184567,0.136,9.594,13.7726814628397,18.4538951230034,14.5859637920098
0.08088560414075,0.032,9.99,10.175,10.745,13.0903482587065
0.0495837296905624,0.011,5.731,17.5511168463524,23.1816690134925,12.0094301055691
0.0832254633871396,0.029,10.274,9.065,9.99,13.3864748201439
0.210004308996343,0.303,13.207,10.415,9.045,12.2628621908127
0.0784014199279192,0.094,17.816,18.6365217391304,19.7769565217391,11.6239350180505
0.286538846383719,0.65,15.709,13.5435135135135,9.83123552123552,11.3612355212355
0.112421530021166,0.071,13.443,19.9527611940299,15.5917164179104,10.6867931034483
0.0260455639292367,0.002,2.711,13.766511627907,9.12697674418605,10.8327906976744
0.126681753331949,0.139,15.324,13.4228571428571,8.61964285714286,10.6455952380952
0.173444506871681,0.285,16.835,13.2658053691275,7.61184563758389,10.0949137931034
0.101286354071668,0.081,17.547,21.4375,15.45,9.73282258064516
0.120740295534195,0.117,18.536,20.9921348314607,21.1416853932584,9.69370786516854
0.151119468454949,0.205,17.542,23.8877358490566,14.4343396226415,8.18829268292683
0.26326590965815,0.785,21.154,22.8516869631053,25.7629971373795,7.976213637762
0.3050215547463,0.774,20.406,20.5233333333333,7.96333333333335,7.7543137254902
0.110515531273171,0.119,14.375,24.90125,19.76875,7.55543103448276
0.0240852314037973,0.002,3.094,24.6605405405405,17.952972972973,7.71567567567568
0.0222825546930161,0.001,3.206,24.3297222222222,10.3266666666667,6.70444444444444
0.0377970439602611,0.005,3.893,21.2632524919232,6.83016376419843,7.36707875876427
0.0251410453502589,0.002,1.931,25.0528501140095,24.4402551640108,6.94857673424666
0.112978220377621,0.07,12.252,25.4316632464405,23.4143763747347,6.68767204414454
0.156609577217261,0.208,19.904,26.4287755102041,17.5865306122449,6.75632911392405
0.121191635832596,0.073,12.208,26.4901960784314,20.6798039215686,6.26235294117647
0.0737079375039484,0.021,8.755,28.2918181818182,18.5881818181818,4.94545454545455
0.0316655284704376,0.002,2.347,20.4705263157895,7.61105263157895,8.25315789473684
0.00249999994412065,0,1.83,18.1575,5.525,7.48
