treeID,X_segmented,Y_segmented,Z_segmented,Point_count,H_segmented_m,Wood_points,Foliage_points,Wood_fraction,Valid_QSM_points,Eligible_for_QSM,X_root,Y_root,Z_root,DBH_cm,H_m,BA_m2,Total_wood_length_m,Volume_total_m3,Volume_Arbor_m3,Stem_length_m,Stem_volume_m3,Branch_count,Branch_length_total_m,Branch_volume_total_m3,B1_primary_count,B1_primary_length_m,B1_primary_volume_m3,B2_secondary_count,B2_secondary_length_m,B2_secondary_volume_m3,B3_tertiary_plus_count,B3_tertiary_plus_length_m,B3_tertiary_plus_volume_m3,Max_branch_order,Stem_volume_pct,Branch_volume_pct,B1_volume_pct,B2_volume_pct,B3_volume_pct,QSM_note,R,G,B,QSM_status,X_tree,Y_tree,Z_tree
160,8.01,9.24,13.37,211,2.29311224489796,111,100,0.526066350710901,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235,45,46,NOT_ELIGIBLE,8.01,9.24,13.37
161,6.28,7.3,12.75,1721,5.25851724137931,588,1133,0.341661824520628,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,98,240,NOT_ELIGIBLE,6.28,7.3,12.75
162,17.78,23.43,11.59,20612,7.86572916666667,18828,1784,0.913448476615564,20612,TRUE,17.5511168463524,23.1816690134925,12.0094301055691,4.95837296905624,5.731,0.0019309377093987,54.2140555630519,0.0108594532283346,0.011,7.24667483844298,0.00719226444945151,73,46.9673807246089,0.00366718877888311,15,16.0084578723217,0.00221645962656339,28,18.5605051214556,0.00110514015295617,30,12.3984177308315,0.000345588999363544,5,66.2304473183361,33.7695526816639,20.4104164358863,10.1767568745784,3.18237937119918,No valid measure,152,228,44,OK,17.5511168463524,23.1816690134925,12.0094301055691
163,9.15,9.91,13.12,18181,11.7779245283019,8793,9388,0.483636763654365,18181,TRUE,9.065,9.99,13.3864748201439,8.32254633871396,10.274,0.00544004290837891,48.9491762599672,0.0288935035340421,0.029,11.5720930783212,0.0270970390155452,73,37.377083181646,0.00179646451849685,38,25.0980234900825,0.00144850449484846,31,10.4043605063228,0.000292595608432641,4,1.87469918524071,5.53644152157493e-05,5,93.7824621497345,6.21753785026546,5.01325321500679,1.01266919080238,0.191615444456292,No valid measure,215,52,196,OK,9.065,9.99,13.3864748201439
164,17.09,28.81,12.51,23056,19.9333986928105,12716,10340,0.551526717557252,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,210,184,NOT_ELIGIBLE,17.09,28.81,12.51
165,16.76,18.02,12.52,1906,1.07,1582,324,0.830010493179433,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225,135,32,NOT_ELIGIBLE,16.76,18.02,12.52
166,18.54,28.95,11.98,12164,18.8221348314607,6790,5374,0.558204537980927,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,45,237,NOT_ELIGIBLE,18.54,28.95,11.98
167,16.57,26.69,12.21,231,0.869266666666666,83,148,0.359307359307359,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,207,58,NOT_ELIGIBLE,16.57,26.69,12.21
168,17.32,17.82,12.31,759,0.794907407407408,309,450,0.407114624505929,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233,23,94,NOT_ELIGIBLE,17.32,17.82,12.31
169,31.45,7.945,1.8,5878,19.2088235294118,2348,3530,0.399455597141885,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,171,240,NOT_ELIGIBLE,31.45,7.945,1.8
170,18.6,27.7,11.33,9519,11.5646511627907,6376,3143,0.669818258220401,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236,254,28,NOT_ELIGIBLE,18.6,27.7,11.33
171,16.88,16.45,12.36,656,0.715889570552147,507,149,0.772865853658537,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207,39,254,NOT_ELIGIBLE,16.88,16.45,12.36
172,19.07,30.15,10.09,18812,19.2155737704918,11152,7660,0.592813098022539,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,210,117,NOT_ELIGIBLE,19.07,30.15,10.09
173,10.63,8.4,11.97,45354,15.5161290322581,18992,26362,0.418750275609649,45354,TRUE,10.415,9.045,12.2628621908127,21.0004308996343,13.207,0.0346374804170921,217.620803870259,0.303295627835823,0.303,14.4555906425194,0.24947570467043,352,203.16521322774,0.053819923165393,44,63.2347940594004,0.0379904693266834,160,92.3710485941854,0.014113792624531,148,47.5593705741541,0.00171566121417857,6,82.2549624109563,17.7450375890438,12.5258875631561,4.65347711249268,0.565672913395004,"",214,76,41,OK,10.415,9.045,12.2628621908127
174,17.52,16.14,11.88,990,0.833529411764705,913,77,0.922222222222222,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,61,214,NOT_ELIGIBLE,17.52,16.14,11.88
175,19.37,19.93,11.3,52491,19.3202816901408,29149,23342,0.55531424434665,52491,TRUE,18.6365217391304,19.7769565217391,11.6239350180505,7.84014199279192,17.816,0.00482767180153243,231.318572179906,0.0937336731662895,0.094,19.669305492678,0.0510342673406525,336,211.649266687228,0.042699405825637,34,51.2270746790098,0.0356413484388336,125,86.8306349913339,0.00514687389671545,177,73.5915570168845,0.00191118349008799,7,54.446033764317,45.553966235683,38.0240603348634,5.49095508887672,2.03895081194292,"",102,227,25,OK,18.6365217391304,19.7769565217391,11.6239350180505
176,9.66,7.36,10.82,2361,4.95128491620112,545,1816,0.230834392206692,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214,42,158,NOT_ELIGIBLE,9.66,7.36,10.82
177,13.61,9.64,11.09,67698,16.4842883548983,43423,24275,0.641422198587846,67698,TRUE,13.5435135135135,9.83123552123552,11.3612355212355,28.6538846383719,15.709,0.0644847317430675,194.254934091588,0.649718045112947,0.65,17.5292974110813,0.600391213635725,319,176.725636680506,0.0493268314772221,56,67.9262099314294,0.0353625535125475,152,73.9588549250908,0.0125734423292828,111,34.8405718239862,0.0013908356353918,7,92.4079634468753,7.59203655312468,5.44275378812975,1.93521519432279,0.214067570672139,"",41,246,254,OK,13.5435135135135,9.83123552123552,11.3612355212355
178,10.72,7.26,10.92,5403,5.88367924528302,2010,3393,0.372015546918379,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209,170,57,NOT_ELIGIBLE,10.72,7.26,10.92
179,15.69,13.2,11.41,981,0.760566037735849,979,2,0.99796126401631,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141,55,246,NOT_ELIGIBLE,15.69,13.2,11.41
180,20.26,26.53,10.4,32162,15.3011111111111,21342,10820,0.663578135688079,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,209,65,NOT_ELIGIBLE,20.26,26.53,10.4
181,18.22,24.1,11.14,174,0.661718749999999,136,38,0.781609195402299,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254,54,81,NOT_ELIGIBLE,18.22,24.1,11.14
182,18.83,2.25,4.7,125,4.12377952755906,16,109,0.128,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,104,204,NOT_ELIGIBLE,18.83,2.25,4.7
183,20.34,16.02,10.31,58372,15.0828571428571,34196,24176,0.585828822037963,58372,TRUE,19.9527611940299,15.5917164179104,10.6867931034483,11.2421530021166,13.443,0.00992633355173452,112.244395930924,0.0710064894882759,0.071,14.7774565892059,0.0583987690092846,164,97.4669393417184,0.0126077204789914,55,47.9036869610257,0.0103778142993887,66,35.4034724292812,0.00183269021923079,43,14.1597799514115,0.000397215960371865,5,82.2442701084764,17.7557298915236,14.6153040013367,2.58101792165544,0.559407968531454,No valid measure,183,229,64,OK,19.9527611940299,15.5917164179104,10.6867931034483
184,21.34,28.68,10.42,4715,13.5265938864629,3150,1565,0.668080593849417,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252,16,254,NOT_ELIGIBLE,21.34,28.68,10.42
185,14.36,8.91,10.32,3970,4.4826582278481,3139,831,0.790680100755668,3970,TRUE,13.766511627907,9.12697674418605,10.8327906976744,2.60455639292367,2.711,0.000532791651969196,19.5319752667,0.00230734914977876,0.002,3.95114406983485,0.00155072093065263,35,15.5808311968651,0.000756628219126129,10,7.17397369457431,0.000485277592915748,16,6.14329344316947,0.000214173247631741,9,2.26356405912133,5.71773785786404e-05,4,67.2079009282718,32.7920990717282,21.0318231621893,9.28222101333374,2.47805489620515,Small tree allometry,67,226,178,OK,13.766511627907,9.12697674418605,10.8327906976744
186,13.57,7.71,10.19,39897,16.7719387755102,19325,20572,0.484372258565807,39897,TRUE,13.4228571428571,8.61964285714286,10.6455952380952,12.6681753331949,15.324,0.01260427913476,289.62067055806,0.139329222031479,0.139,16.5035172008127,0.08124315438368,408,273.117153357247,0.0580860676477989,39,57.5120312781165,0.0345998041351288,100,81.8889924395555,0.0156664493191553,269,133.716129639576,0.00781981419351474,8,58.3102045637811,41.689795436219,24.833128062189,11.2441949296292,5.61247244440078,No valid measure,222,102,20,OK,13.4228571428571,8.61964285714286,10.6455952380952
187,19.45,22.36,10.45,553,0.846603773584908,40,513,0.0723327305605787,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,31,220,NOT_ELIGIBLE,19.45,22.36,10.45
188,19.4,27.74,10.13,467,2.68333333333333,334,133,0.715203426124197,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,254,57,NOT_ELIGIBLE,19.4,27.74,10.13
189,12.205,7.28,10.36,212,1.6381954887218,41,171,0.193396226415094,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251,29,133,NOT_ELIGIBLE,12.205,7.28,10.36
190,13.08,7.96,10.23,101,1.16153846153846,10,91,0.099009900990099,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,162,205,NOT_ELIGIBLE,13.08,7.96,10.23
191,13.45,11.89,11.9,394,0.666969696969698,243,151,0.616751269035533,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209,199,11,NOT_ELIGIBLE,13.45,11.89,11.9
192,15.54,7.13,9.73,36636,20.334964028777,20027,16609,0.546648105688394,36636,TRUE,13.2658053691275,7.61184563758389,10.0949137931034,17.3444506871681,16.835,0.0236271305649857,336.86169503024,0.285436371003243,0.285,18.3841461277683,0.164888808355683,491,318.477548902472,0.120547562647559,48,75.9991879953436,0.0772367256638503,148,115.650281630269,0.0349402821690766,295,126.82807927686,0.00837055481463217,6,57.7672732371623,42.2327267628377,27.0591744816476,12.24100560355,2.93254667764014,No valid measure,174,62,232,OK,13.2658053691275,7.61184563758389,10.0949137931034
193,9.81,4.58,8.6,1606,7.65529243937233,576,1030,0.35865504358655,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,236,98,NOT_ELIGIBLE,9.81,4.58,8.6
194,19.39,28.015,9.85,174,0.796666666666667,11,163,0.0632183908045977,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244,40,24,NOT_ELIGIBLE,19.39,28.015,9.85
195,21.62,15.69,9.32,47191,18.5470192307692,25534,21657,0.541077747875654,47191,TRUE,21.4375,15.45,9.73282258064516,10.1286354071668,17.547,0.00805734126272775,113.362452654422,0.0811445612671889,0.081,18.4343586300315,0.0764427494089574,152,94.9280940243909,0.00470181185823143,29,38.5664414183354,0.0033811154025788,69,39.5302619530614,0.000982497435860176,54,16.8313906529941,0.000338199019792453,6,94.2056352455348,5.79436475446522,4.16678006483469,1.21079887612561,0.416785813504922,"",22,67,229,OK,21.4375,15.45,9.73282258064516
196,21.54,21.3,9.4,22649,20.1925899280576,16775,5874,0.740650801359884,22649,TRUE,20.9921348314607,21.1416853932584,9.69370786516854,12.0740295534195,18.536,0.0114497064012546,180.641099484144,0.116642941892818,0.117,19.5580670908006,0.104225904307159,234,161.083032393343,0.0124170375856584,37,62.1658333114579,0.00911842391146649,102,67.4073606776755,0.00263236015612508,95,31.5098384042097,0.000666253518066804,6,89.3546601413155,10.6453398586845,7.81738162935339,2.25676763069294,0.571190598638208,"",136,245,22,OK,20.9921348314607,21.1416853932584,9.69370786516854
197,12.27,6.87,9.6,85,1.55869074492099,20,65,0.235294117647059,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254,30,210,NOT_ELIGIBLE,12.27,6.87,9.6
198,20.78,19.88,9.98,214,1.11772727272728,97,117,0.453271028037383,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,251,229,NOT_ELIGIBLE,20.78,19.88,9.98
199,12.275,5.775,9.97,90,2.30794444444445,17,73,0.188888888888889,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218,146,31,NOT_ELIGIBLE,12.275,5.775,9.97
200,22.39,28.47,8.92,4998,9.44163636363636,2110,2888,0.422168867547019,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,28,209,NOT_ELIGIBLE,22.39,28.47,8.92
201,13.02,6.42,9.11,59,0.807328767123286,5,54,0.0847457627118644,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,207,40,NOT_ELIGIBLE,13.02,6.42,9.11
202,21.5,23.37,8.93,848,2.29254545454546,192,656,0.226415094339623,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214,47,90,NOT_ELIGIBLE,21.5,23.37,8.93
203,21.19,24.75,8.17,115,0.698888888888888,37,78,0.321739130434783,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,141,234,NOT_ELIGIBLE,21.19,24.75,8.17
204,24.88,13.37,7.85,20228,19.9150230414747,14188,6040,0.70140399446312,20228,TRUE,23.8877358490566,14.4343396226415,8.18829268292683,15.1119468454949,17.542,0.0179362114855272,195.951326575929,0.204562375913748,0.205,17.5478551823636,0.181498255563624,263,178.403471393565,0.0230641203501241,20,29.9936106598928,0.0137976810059503,52,60.1992135924944,0.00634534774878079,191,88.2106471411777,0.00292109159539299,6,88.7251405606235,11.2748594393765,6.74497494679469,3.10191339948859,1.42797109309321,"",178,204,34,OK,23.8877358490566,14.4343396226415,8.18829268292683
205,23.21,33.94,8.73,20847,22.4409579265227,8362,12485,0.401112869957308,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201,27,229,NOT_ELIGIBLE,23.21,33.94,8.73
