treeID,Rank_structural,Structural_score,Rank_volume,Rank_DBH,Rank_height,Rank_branches,DBH_cm,H_m,BA_m2,Volume_total_m3,Stem_volume_m3,Branch_volume_total_m3,Branch_count,B1_primary_count,B2_secondary_count,B3_tertiary_plus_count,Max_branch_order,Stem_volume_pct,Branch_volume_pct,X_tree,Y_tree,Z_tree,R,G,B
19,11,1.1459984579913,10,8,8,11,29.0503515235872,21.12,0.0662815514278989,0.727361850236894,0.672075984933683,0.0552858653032108,531,95,276,160,6,92.3991249630146,7.60087503698534,17.59,18.09,12.3,212,51,190
3,12,1.11274638334999,11,12,5,12,27.3913769681966,21.68,0.0589274449820761,0.706675580338652,0.641580890308365,0.0650946900302869,515,81,212,222,6,90.7886034495359,9.21139655046411,15.593064516129,13.3520967741935,11.8004494382022,242,35,75
177,13,0.993495370105859,14,10,38,23,28.6538846383719,15.709,0.0644847317430675,0.649718045112947,0.600391213635725,0.0493268314772221,319,56,152,111,7,92.4079634468753,7.59203655312468,13.5435135135135,9.83123552123552,11.3612355212355,41,246,254
13,14,0.990529857454902,13,4,29,20,32.0016426020157,17.09,0.0804330287620906,0.65649753860947,0.600641163323713,0.055856375285757,338,63,130,145,6,91.4917616592948,8.50823834070521,17.9916666666667,10.5333333333333,9.96966057441253,247,221,17
83,15,0.911774084454724,15,15,11,7,21.1740555055952,20.691,0.0352125904671993,0.362186032582751,0.282516635648873,0.0796693969338784,664,64,276,324,7,78.0031835115906,21.9968164884094,22.4734782608696,5.54,5.86913043478261,36,221,122
4,16,0.7975007060256,18,18,12,22,17.2125531152613,20.601,0.0232691472685382,0.278673629556633,0.250583442120161,0.0280901874364721,326,49,92,185,8,89.9200410598006,10.0799589401994,14,17.695,14.1189028213166,19,119,226
229,17,0.742200953888648,20,20,15,14,15.6609577217261,19.904,0.0192631149241212,0.207908830168485,0.187730662007763,0.0201781681607219,465,30,83,352,8,90.294703623521,9.70529637647901,26.4287755102041,17.5865306122449,6.75632911392405,44,73,249
9,18,0.679134539292699,24,29,22,9,14.0336374375483,18.312,0.0154678654572829,0.193532646929894,0.126310906997078,0.0672217399328159,572,49,171,352,8,65.2659429821333,34.7340570178667,22.205,23.775,8.64796296296296,47,37,217
8,19,0.547436987435119,22,25,20,17,15.0294208113792,18.812,0.0177408478129307,0.195739143879804,0.156461894925806,0.0392772489539979,415,54,104,257,7,79.9338812996359,20.0661187003641,24.53,14.559,7.8976,251,109,33
192,20,0.500655364695685,17,17,33,13,17.3444506871681,16.835,0.0236271305649857,0.285436371003243,0.164888808355683,0.120547562647559,491,48,148,295,6,57.7672732371623,42.2327267628377,13.2658053691275,7.61184563758389,10.0949137931034,174,62,232
11,21,0.496247282885565,23,21,23,24,15.5928976782444,18.281,0.0190960498367785,0.19462648579835,0.162030168215639,0.0325963175827104,295,30,64,201,7,83.2518593504879,16.7481406495122,22.566875,18.516875,9.08919540229885,244,40,148
186,22,0.475338260647965,27,33,39,18,12.6681753331949,15.324,0.01260427913476,0.139329222031479,0.08124315438368,0.0580860676477989,408,39,100,269,8,58.3102045637811,41.689795436219,13.4228571428571,8.61964285714286,10.6455952380952,222,102,20
